agent,map_name,won
Yoru,Bind,True
Raze,Bind,True
Brimstone,Bind,True
Viper,Bind,True
Fade,Bind,True
Raze,Bind,False
Brimstone,Bind,False
Skye,Bind,False
Gekko,Bind,False
Viper,Bind,False
Omen,Sunset,True
Sova,Sunset,True
Raze,Sunset,True
Sage,Sunset,True
Viper,Sunset,True
Neon,Sunset,False
Cypher,Sunset,False
Yoru,Sunset,False
Omen,Sunset,False
Sova,Sunset,False
Yoru,Corrode,False
Fade,Corrode,False
Vyse,Corrode,False
Viper,Corrode,False
Omen,Corrode,False
Fade,Corrode,True
Viper,Corrode,True
Omen,Corrode,True
Neon,Corrode,True
Vyse,Corrode,True
Sova,Sunset,True
Cypher,Sunset,True
Breach,Sunset,True
Neon,Sunset,True
Omen,Sunset,True
Cypher,Sunset,False
Fade,Sunset,False
Breach,Sunset,False
Neon,Sunset,False
Omen,Sunset,False
Sova,Haven,True
Neon,Haven,True
Breach,Haven,True
Omen,Haven,True
Cypher,Haven,True
Neon,Haven,False
Viper,Haven,False
Killjoy,Haven,False
Omen,Haven,False
Sova,Haven,False
Yoru,Abyss,True
Vyse,Abyss,True
Sova,Abyss,True
Omen,Abyss,True
Harbor,Abyss,True
Omen,Abyss,False
Sova,Abyss,False
Yoru,Abyss,False
Sage,Abyss,False
Neon,Abyss,False
Kayo,Corrode,True
Omen,Corrode,True
Viper,Corrode,True
Sova,Corrode,True
Waylay,Corrode,True
Yoru,Corrode,False
Omen,Corrode,False
Fade,Corrode,False
Viper,Corrode,False
Neon,Corrode,False
Omen,Abyss,False
Sova,Abyss,False
Jett,Abyss,False
Kayo,Abyss,False
Cypher,Abyss,False
Omen,Abyss,True
Yoru,Abyss,True
Cypher,Abyss,True
Sova,Abyss,True
Waylay,Abyss,True
Brimstone,Bind,False
Viper,Bind,False
Skye,Bind,False
Raze,Bind,False
Gekko,Bind,False
Brimstone,Bind,True
Fade,Bind,True
Waylay,Bind,True
Yoru,Bind,True
Viper,Bind,True
Yoru,Lotus,False
Breach,Lotus,False
Vyse,Lotus,False
Waylay,Lotus,False
Omen,Lotus,False
Omen,Lotus,True
Yoru,Lotus,True
Neon,Lotus,True
Fade,Lotus,True
Vyse,Lotus,True
Yoru,Sunset,False
Fade,Sunset,False
Cypher,Sunset,False
Omen,Sunset,False
Neon,Sunset,False
Cypher,Sunset,True
Neon,Sunset,True
Yoru,Sunset,True
Sova,Sunset,True
Omen,Sunset,True
Cypher,Corrode,False
Fade,Corrode,False
Omen,Corrode,False
Sage,Corrode,False
Raze,Corrode,False
Vyse,Corrode,True
Fade,Corrode,True
Yoru,Corrode,True
Astra,Corrode,True
Viper,Corrode,True
Omen,Lotus,False
Viper,Lotus,False
Tejo,Lotus,False
Yoru,Lotus,False
Fade,Lotus,False
Chamber,Lotus,True
Fade,Lotus,True
Raze,Lotus,True
Omen,Lotus,True
Deadlock,Lotus,True
Sova,Haven,False
Neon,Haven,False
Breach,Haven,False
Cypher,Haven,False
Omen,Haven,False
Sova,Haven,True
Neon,Haven,True
Killjoy,Haven,True
Viper,Haven,True
Omen,Haven,True
Sova,Corrode,False
Deadlock,Corrode,False
Viper,Corrode,False
Omen,Corrode,False
Neon,Corrode,False
Waylay,Corrode,True
Kayo,Corrode,True
Sova,Corrode,True
Viper,Corrode,True
Omen,Corrode,True
Sova,Ascent,False
Yoru,Ascent,False
Cypher,Ascent,False
Tejo,Ascent,False
Omen,Ascent,False
Vyse,Ascent,True
Sage,Ascent,True
Omen,Ascent,True
Sova,Ascent,True
Yoru,Ascent,True
Kayo,Abyss,False
Sova,Abyss,False
Omen,Abyss,False
Jett,Abyss,False
Cypher,Abyss,False
Astra,Abyss,True
Breach,Abyss,True
Cypher,Abyss,True
Sova,Abyss,True
Waylay,Abyss,True
Omen,Ascent,False
Yoru,Ascent,False
Vyse,Ascent,False
Sage,Ascent,False
Sova,Ascent,False
Jett,Ascent,True
Sova,Ascent,True
Cypher,Ascent,True
Kayo,Ascent,True
Omen,Ascent,True
Yoru,Lotus,True
Vyse,Lotus,True
Raze,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Cypher,Lotus,False
Fade,Lotus,False
Viper,Lotus,False
Omen,Lotus,False
Raze,Lotus,False
Sova,Sunset,True
Raze,Sunset,True
Sage,Sunset,True
Viper,Sunset,True
Omen,Sunset,True
Omen,Sunset,False
Breach,Sunset,False
Cypher,Sunset,False
Neon,Sunset,False
Sova,Sunset,False
Cypher,Haven,True
Neon,Haven,True
Waylay,Haven,True
Sova,Haven,True
Omen,Haven,True
Killjoy,Haven,False
Neon,Haven,False
Viper,Haven,False
Sova,Haven,False
Omen,Haven,False
Yoru,Corrode,False
Waylay,Corrode,False
Fade,Corrode,False
Omen,Corrode,False
Viper,Corrode,False
Waylay,Corrode,True
Omen,Corrode,True
Viper,Corrode,True
Sova,Corrode,True
Kayo,Corrode,True
Yoru,Lotus,False
Fade,Lotus,False
Waylay,Lotus,False
Omen,Lotus,False
Vyse,Lotus,False
Vyse,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Raze,Lotus,True
Viper,Lotus,True
Fade,Lotus,True
Chamber,Lotus,True
Omen,Lotus,True
Deadlock,Lotus,True
Raze,Lotus,True
Neon,Lotus,False
Omen,Lotus,False
Yoru,Lotus,False
Vyse,Lotus,False
Fade,Lotus,False
Sova,Sunset,True
Raze,Sunset,True
Omen,Sunset,True
Yoru,Sunset,True
Cypher,Sunset,True
Cypher,Sunset,False
Yoru,Sunset,False
Omen,Sunset,False
Sova,Sunset,False
Neon,Sunset,False
Raze,Bind,True
Viper,Bind,True
Fade,Bind,True
Yoru,Bind,True
Brimstone,Bind,True
Tejo,Bind,False
Viper,Bind,False
Yoru,Bind,False
Fade,Bind,False
Astra,Bind,False
Jett,Abyss,False
Sova,Abyss,False
Astra,Abyss,False
Cypher,Abyss,False
Kayo,Abyss,False
Astra,Abyss,True
Sova,Abyss,True
Cypher,Abyss,True
Waylay,Abyss,True
Breach,Abyss,True
Omen,Haven,False
Viper,Haven,False
Neon,Haven,False
Killjoy,Haven,False
Sova,Haven,False
Yoru,Haven,True
Viper,Haven,True
Sova,Haven,True
Killjoy,Haven,True
Omen,Haven,True
Fade,Sunset,False
Omen,Sunset,False
Raze,Sunset,False
Yoru,Sunset,False
Cypher,Sunset,False
Neon,Sunset,True
Sova,Sunset,True
Breach,Sunset,True
Cypher,Sunset,True
Omen,Sunset,True
Cypher,Abyss,True
Jett,Abyss,True
Kayo,Abyss,True
Sova,Abyss,True
Omen,Abyss,True
Omen,Abyss,False
Waylay,Abyss,False
Sova,Abyss,False
Astra,Abyss,False
Yoru,Abyss,False
Viper,Bind,True
Yoru,Bind,True
Fade,Bind,True
Brimstone,Bind,True
Raze,Bind,True
Brimstone,Bind,False
Fade,Bind,False
Viper,Bind,False
Yoru,Bind,False
Tejo,Bind,False
Sova,Abyss,False
Astra,Abyss,False
Omen,Abyss,False
Yoru,Abyss,False
Jett,Abyss,False
Omen,Abyss,True
Kayo,Abyss,True
Sova,Abyss,True
Astra,Abyss,True
Jett,Abyss,True
Cypher,Lotus,True
Sage,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Deadlock,Lotus,True
Raze,Lotus,False
Viper,Lotus,False
Omen,Lotus,False
Vyse,Lotus,False
Fade,Lotus,False
Viper,Haven,True
Killjoy,Haven,True
Neon,Haven,True
Omen,Haven,True
Sova,Haven,True
Viper,Haven,False
Omen,Haven,False
Neon,Haven,False
Killjoy,Haven,False
Sova,Haven,False
Sova,Sunset,True
Cypher,Sunset,True
Omen,Sunset,True
Neon,Sunset,True
Breach,Sunset,True
Omen,Sunset,False
Breach,Sunset,False
Waylay,Sunset,False
Cypher,Sunset,False
Fade,Sunset,False
Omen,Lotus,False
Fade,Lotus,False
Raze,Lotus,False
Vyse,Lotus,False
Viper,Lotus,False
Raze,Lotus,True
Omen,Lotus,True
Viper,Lotus,True
Fade,Lotus,True
Yoru,Lotus,True
Omen,Abyss,False
Vyse,Abyss,False
Sova,Abyss,False
Harbor,Abyss,False
Yoru,Abyss,False
Jett,Abyss,True
Cypher,Abyss,True
Omen,Abyss,True
Kayo,Abyss,True
Sova,Abyss,True
Viper,Lotus,True
Fade,Lotus,True
Yoru,Lotus,True
Omen,Lotus,True
Tejo,Lotus,True
Waylay,Lotus,False
Omen,Lotus,False
Vyse,Lotus,False
Yoru,Lotus,False
Breach,Lotus,False
Yoru,Abyss,True
Tejo,Abyss,True
Sova,Abyss,True
Deadlock,Abyss,True
Astra,Abyss,True
Cypher,Abyss,False
Omen,Abyss,False
Yoru,Abyss,False
Waylay,Abyss,False
Sova,Abyss,False
Omen,Corrode,True
Yoru,Corrode,True
Waylay,Corrode,True
Fade,Corrode,True
Vyse,Corrode,True
Omen,Corrode,False
Vyse,Corrode,False
Neon,Corrode,False
Waylay,Corrode,False
Fade,Corrode,False
Waylay,Abyss,True
Yoru,Abyss,True
Omen,Abyss,True
Cypher,Abyss,True
Sova,Abyss,True
Omen,Abyss,False
Jett,Abyss,False
Sova,Abyss,False
Cypher,Abyss,False
Kayo,Abyss,False
Raze,Bind,True
Deadlock,Bind,True
Astra,Bind,True
Gekko,Bind,True
Viper,Bind,True
Brimstone,Bind,False
Viper,Bind,False
Skye,Bind,False
Waylay,Bind,False
Gekko,Bind,False
Jett,Ascent,True
Kayo,Ascent,True
Sova,Ascent,True
Cypher,Ascent,True
Omen,Ascent,True
Kayo,Ascent,False
Sova,Ascent,False
Jett,Ascent,False
Cypher,Ascent,False
Omen,Ascent,False
Yoru,Lotus,False
Vyse,Lotus,False
Fade,Lotus,False
Neon,Lotus,False
Omen,Lotus,False
Omen,Lotus,True
Viper,Lotus,True
Yoru,Lotus,True
Tejo,Lotus,True
Fade,Lotus,True
Fade,Corrode,False
Omen,Corrode,False
Waylay,Corrode,False
Vyse,Corrode,False
Neon,Corrode,False
Tejo,Corrode,True
Yoru,Corrode,True
Viper,Corrode,True
Omen,Corrode,True
Fade,Corrode,True
Kayo,Corrode,True
Waylay,Corrode,True
Viper,Corrode,True
Sova,Corrode,True
Omen,Corrode,True
Neon,Corrode,False
Fade,Corrode,False
Omen,Corrode,False
Waylay,Corrode,False
Viper,Corrode,False
Astra,Abyss,True
Jett,Abyss,True
Sova,Abyss,True
Cypher,Abyss,True
Kayo,Abyss,True
Jett,Abyss,False
Cypher,Abyss,False
Omen,Abyss,False
Sova,Abyss,False
Kayo,Abyss,False
Yoru,Lotus,True
Raze,Lotus,True
Vyse,Lotus,True
Omen,Lotus,True
Fade,Lotus,True
Yoru,Lotus,False
Fade,Lotus,False
Viper,Lotus,False
Omen,Lotus,False
Tejo,Lotus,False
Yoru,Corrode,False
Fade,Corrode,False
Raze,Corrode,False
Omen,Corrode,False
Vyse,Corrode,False
Fade,Corrode,True
Viper,Corrode,True
Tejo,Corrode,True
Yoru,Corrode,True
Omen,Corrode,True
Omen,Ascent,True
Yoru,Ascent,True
Sage,Ascent,True
Vyse,Ascent,True
Sova,Ascent,True
Chamber,Ascent,False
Sova,Ascent,False
Omen,Ascent,False
Vyse,Ascent,False
Yoru,Ascent,False
Yoru,Haven,True
Killjoy,Haven,True
Sova,Haven,True
Omen,Haven,True
Viper,Haven,True
Sova,Haven,False
Omen,Haven,False
Waylay,Haven,False
Neon,Haven,False
Cypher,Haven,False
Vyse,Ascent,False
Sage,Ascent,False
Yoru,Ascent,False
Omen,Ascent,False
Sova,Ascent,False
Omen,Ascent,True
Yoru,Ascent,True
Sova,Ascent,True
Waylay,Ascent,True
Vyse,Ascent,True
Killjoy,Lotus,True
Raze,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Viper,Lotus,True
Waylay,Lotus,False
Yoru,Lotus,False
Vyse,Lotus,False
Fade,Lotus,False
Omen,Lotus,False
Fade,Corrode,False
Yoru,Corrode,False
Viper,Corrode,False
Astra,Corrode,False
Vyse,Corrode,False
Kayo,Corrode,True
Omen,Corrode,True
Waylay,Corrode,True
Sova,Corrode,True
Viper,Corrode,True
Sova,Sunset,False
Vyse,Sunset,False
Viper,Sunset,False
Omen,Sunset,False
Yoru,Sunset,False
Neon,Sunset,True
Cypher,Sunset,True
Sova,Sunset,True
Viper,Sunset,True
Omen,Sunset,True
Sova,Haven,True
Neon,Haven,True
Viper,Haven,True
Omen,Haven,True
Killjoy,Haven,True
Omen,Haven,False
Sova,Haven,False
Cypher,Haven,False
Breach,Haven,False
Neon,Haven,False
Viper,Lotus,True
Raze,Lotus,True
Omen,Lotus,True
Vyse,Lotus,True
Fade,Lotus,True
Fade,Lotus,False
Cypher,Lotus,False
Omen,Lotus,False
Viper,Lotus,False
Raze,Lotus,False
Omen,Lotus,False
Vyse,Lotus,False
Yoru,Lotus,False
Waylay,Lotus,False
Fade,Lotus,False
Yoru,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Viper,Lotus,True
Tejo,Lotus,True
Waylay,Abyss,True
Yoru,Abyss,True
Omen,Abyss,True
Sova,Abyss,True
Cypher,Abyss,True
Tejo,Abyss,False
Chamber,Abyss,False
Sova,Abyss,False
Astra,Abyss,False
Yoru,Abyss,False
Brimstone,Bind,True
Yoru,Bind,True
Waylay,Bind,True
Viper,Bind,True
Fade,Bind,True
Brimstone,Bind,False
Yoru,Bind,False
Tejo,Bind,False
Deadlock,Bind,False
Fade,Bind,False
Sova,Ascent,True
Yoru,Ascent,True
Jett,Ascent,True
Cypher,Ascent,True
Omen,Ascent,True
Kayo,Ascent,False
Jett,Ascent,False
Cypher,Ascent,False
Sova,Ascent,False
Omen,Ascent,False
Chamber,Lotus,False
Raze,Lotus,False
Deadlock,Lotus,False
Omen,Lotus,False
Fade,Lotus,False
Viper,Lotus,True
Raze,Lotus,True
Cypher,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Waylay,Bind,True
Brimstone,Bind,True
Fade,Bind,True
Viper,Bind,True
Yoru,Bind,True
Gekko,Bind,False
Deadlock,Bind,False
Viper,Bind,False
Astra,Bind,False
Raze,Bind,False
Yoru,Bind,False
Tejo,Bind,False
Astra,Bind,False
Fade,Bind,False
Viper,Bind,False
Viper,Bind,True
Brimstone,Bind,True
Fade,Bind,True
Yoru,Bind,True
Raze,Bind,True
Yoru,Haven,True
Viper,Haven,True
Sova,Haven,True
Omen,Haven,True
Killjoy,Haven,True
Vyse,Haven,False
Omen,Haven,False
Waylay,Haven,False
Fade,Haven,False
Yoru,Haven,False
Viper,Lotus,True
Omen,Lotus,True
Raze,Lotus,True
Killjoy,Lotus,True
Fade,Lotus,True
Raze,Lotus,False
Vyse,Lotus,False
Omen,Lotus,False
Fade,Lotus,False
Yoru,Lotus,False
Jett,Abyss,False
Cypher,Abyss,False
Astra,Abyss,False
Sova,Abyss,False
Kayo,Abyss,False
Yoru,Abyss,True
Sova,Abyss,True
Omen,Abyss,True
Harbor,Abyss,True
Vyse,Abyss,True
Neon,Haven,True
Killjoy,Haven,True
Sova,Haven,True
Viper,Haven,True
Omen,Haven,True
Sova,Haven,False
Killjoy,Haven,False
Viper,Haven,False
Omen,Haven,False
Neon,Haven,False
Waylay,Corrode,False
Sova,Corrode,False
Omen,Corrode,False
Viper,Corrode,False
Kayo,Corrode,False
Omen,Corrode,True
Viper,Corrode,True
Kayo,Corrode,True
Sova,Corrode,True
Waylay,Corrode,True
Vyse,Ascent,True
Yoru,Ascent,True
Omen,Ascent,True
Sova,Ascent,True
Sage,Ascent,True
Jett,Ascent,False
Sova,Ascent,False
Omen,Ascent,False
Yoru,Ascent,False
Cypher,Ascent,False
Brimstone,Bind,False
Viper,Bind,False
Raze,Bind,False
Yoru,Bind,False
Fade,Bind,False
Yoru,Bind,True
Fade,Bind,True
Viper,Bind,True
Brimstone,Bind,True
Waylay,Bind,True
Fade,Lotus,True
Omen,Lotus,True
Vyse,Lotus,True
Yoru,Lotus,True
Raze,Lotus,True
Deadlock,Lotus,False
Fade,Lotus,False
Chamber,Lotus,False
Omen,Lotus,False
Raze,Lotus,False
Neon,Sunset,True
Cypher,Sunset,True
Sova,Sunset,True
Viper,Sunset,True
Omen,Sunset,True
Sova,Sunset,False
Cypher,Sunset,False
Omen,Sunset,False
Waylay,Sunset,False
Neon,Sunset,False
Jett,Ascent,False
Vyse,Ascent,False
Sova,Ascent,False
Omen,Ascent,False
Kayo,Ascent,False
Sova,Ascent,True
Vyse,Ascent,True
Yoru,Ascent,True
Omen,Ascent,True
Waylay,Ascent,True
Raze,Bind,False
Viper,Bind,False
Brimstone,Bind,False
Fade,Bind,False
Yoru,Bind,False
Yoru,Bind,True
Brimstone,Bind,True
Fade,Bind,True
Waylay,Bind,True
Viper,Bind,True
Yoru,Ascent,False
Omen,Ascent,False
Vyse,Ascent,False
Sova,Ascent,False
Sage,Ascent,False
Sova,Ascent,True
Omen,Ascent,True
Vyse,Ascent,True
Kayo,Ascent,True
Jett,Ascent,True
Breach,Abyss,False
Sova,Abyss,False
Waylay,Abyss,False
Cypher,Abyss,False
Astra,Abyss,False
Vyse,Abyss,True
Yoru,Abyss,True
Sova,Abyss,True
Harbor,Abyss,True
Omen,Abyss,True
Waylay,Ascent,True
Vyse,Ascent,True
Omen,Ascent,True
Sova,Ascent,True
Yoru,Ascent,True
Sage,Ascent,False
Vyse,Ascent,False
Sova,Ascent,False
Omen,Ascent,False
Yoru,Ascent,False
Omen,Lotus,True
Vyse,Lotus,True
Fade,Lotus,True
Raze,Lotus,True
Yoru,Lotus,True
Raze,Lotus,False
Vyse,Lotus,False
Omen,Lotus,False
Yoru,Lotus,False
Fade,Lotus,False
Vyse,Sunset,False
Fade,Sunset,False
Neon,Sunset,False
Omen,Sunset,False
Breach,Sunset,False
Cypher,Sunset,True
Waylay,Sunset,True
Yoru,Sunset,True
Sova,Sunset,True
Omen,Sunset,True
Fade,Corrode,True
Viper,Corrode,True
Vyse,Corrode,True
Astra,Corrode,True
Yoru,Corrode,True
Fade,Corrode,False
Waylay,Corrode,False
Yoru,Corrode,False
Vyse,Corrode,False
Omen,Corrode,False
Yoru,Haven,True
Viper,Haven,True
Sova,Haven,True
Killjoy,Haven,True
Omen,Haven,True
Cypher,Haven,False
Yoru,Haven,False
Omen,Haven,False
Sova,Haven,False
Waylay,Haven,False
Viper,Bind,True
Yoru,Bind,True
Astra,Bind,True
Fade,Bind,True
Tejo,Bind,True
Brimstone,Bind,False
Fade,Bind,False
Waylay,Bind,False
Viper,Bind,False
Yoru,Bind,False
Sova,Corrode,True
Waylay,Corrode,True
Kayo,Corrode,True
Omen,Corrode,True
Viper,Corrode,True
Yoru,Corrode,False
Fade,Corrode,False
Viper,Corrode,False
Astra,Corrode,False
Vyse,Corrode,False
Raze,Lotus,True
Viper,Lotus,True
Vyse,Lotus,True
Fade,Lotus,True
Omen,Lotus,True
Raze,Lotus,False
Viper,Lotus,False
Killjoy,Lotus,False
Omen,Lotus,False
Fade,Lotus,False
Vyse,Abyss,False
Sova,Abyss,False
Omen,Abyss,False
Yoru,Abyss,False
Harbor,Abyss,False
Sova,Abyss,True
Waylay,Abyss,True
Breach,Abyss,True
Cypher,Abyss,True
Astra,Abyss,True
Sova,Ascent,False
Omen,Ascent,False
Kayo,Ascent,False
Vyse,Ascent,False
Jett,Ascent,False
Sage,Ascent,True
Yoru,Ascent,True
Sova,Ascent,True
Vyse,Ascent,True
Omen,Ascent,True
Breach,Sunset,True
Cypher,Sunset,True
Sova,Sunset,True
Omen,Sunset,True
Neon,Sunset,True
Yoru,Sunset,False
Neon,Sunset,False
Cypher,Sunset,False
Fade,Sunset,False
Omen,Sunset,False
Viper,Split,True
Jett,Split,True
Tejo,Split,True
Breach,Split,True
Omen,Split,True
Yoru,Split,False
Raze,Split,False
Astra,Split,False
Viper,Split,False
Fade,Split,False
Vyse,Pearl,True
Astra,Pearl,True
Fade,Pearl,True
Tejo,Pearl,True
Yoru,Pearl,True
Yoru,Pearl,False
Chamber,Pearl,False
Astra,Pearl,False
Vyse,Pearl,False
Sova,Pearl,False
Tejo,Lotus,True
Breach,Lotus,True
Omen,Lotus,True
Cypher,Lotus,True
Yoru,Lotus,True
Raze,Lotus,False
Vyse,Lotus,False
Omen,Lotus,False
Fade,Lotus,False
Viper,Lotus,False
Cypher,Haven,True
Breach,Haven,True
Tejo,Haven,True
Yoru,Haven,True
Omen,Haven,True
Astra,Haven,False
Breach,Haven,False
Tejo,Haven,False
Jett,Haven,False
Vyse,Haven,False
Brimstone,Fracture,True
Raze,Fracture,True
Tejo,Fracture,True
Vyse,Fracture,True
Breach,Fracture,True
Raze,Fracture,False
Brimstone,Fracture,False
Vyse,Fracture,False
Tejo,Fracture,False
Breach,Fracture,False
Brimstone,Bind,True
Skye,Bind,True
Raze,Bind,True
Viper,Bind,True
Tejo,Bind,True
Kayo,Bind,False
Vyse,Bind,False
Fade,Bind,False
Raze,Bind,False
Brimstone,Bind,False
Tejo,Lotus,True
Viper,Lotus,True
Omen,Lotus,True
Breach,Lotus,True
Yoru,Lotus,True
Fade,Lotus,False
Viper,Lotus,False
Omen,Lotus,False
Raze,Lotus,False
Vyse,Lotus,False
Chamber,Abyss,True
Sova,Abyss,True
Breach,Abyss,True
Astra,Abyss,True
Yoru,Abyss,True
Astra,Abyss,False
Jett,Abyss,False
Sova,Abyss,False
Kayo,Abyss,False
Omen,Abyss,False
Yoru,Bind,False
Breach,Bind,False
Tejo,Bind,False
Brimstone,Bind,False
Cypher,Bind,False
Brimstone,Bind,True
Skye,Bind,True
