match_id,map_name,Controller,Duelist,Initiator,Sentinel,won
427991,Pearl,1,2,1,1,0
427991,Split,2,1,1,1,0
427991,Pearl,1,1,2,1,1
427991,Split,1,1,2,1,1
427992,Bind,2,1,2,0,1
427992,Lotus,2,1,2,0,1
427992,Bind,1,1,1,2,0
427992,Lotus,1,1,2,1,0
427993,Fracture,2,1,1,1,1
427993,Lotus,1,1,2,1,1
427993,Fracture,1,1,2,1,0
427993,Lotus,2,1,1,1,0
427994,Haven,1,1,2,1,0
427994,Lotus,1,1,2,1,0
427994,Haven,1,1,2,1,1
427994,Lotus,1,1,2,1,1
427995,Haven,1,1,2,1,0
427995,Split,2,1,1,1,0
427995,Haven,1,1,2,1,1
427995,Split,1,1,2,1,1
427996,Bind,2,1,2,0,0
427996,Pearl,1,1,2,1,0
427996,Split,1,1,2,1,1
427996,Bind,2,1,2,0,1
427996,Pearl,1,1,2,1,1
427996,Split,2,1,2,0,0
427997,Abyss,2,1,2,0,0
427997,Lotus,1,1,2,1,0
427997,Abyss,1,1,2,1,1
427997,Lotus,2,1,2,0,1
427998,Haven,1,1,2,1,0
427998,Split,2,1,1,1,0
427998,Haven,1,1,2,1,1
427998,Split,2,1,1,1,1
427999,Lotus,1,1,2,1,1
427999,Pearl,1,1,2,1,0
427999,Split,1,1,2,1,0
427999,Lotus,1,1,2,1,0
427999,Pearl,1,1,2,1,1
427999,Split,2,1,2,0,1
428000,Fracture,1,1,2,1,1
428000,Pearl,1,1,1,2,1
428000,Fracture,1,1,2,1,0
428000,Pearl,1,1,2,1,0
428001,Abyss,1,1,2,1,1
428001,Pearl,1,1,1,2,1
428001,Abyss,2,1,2,0,0
428001,Pearl,1,1,2,1,0
428002,Abyss,1,1,2,1,0
428002,Fracture,1,1,2,1,1
428002,Haven,1,1,2,1,1
428002,Pearl,1,1,1,2,1
428002,Split,2,1,2,0,0
428002,Abyss,2,1,2,0,1
428002,Fracture,1,1,2,1,0
428002,Haven,1,2,1,1,0
428002,Pearl,1,1,2,1,0
428002,Split,2,1,2,0,1
428003,Abyss,2,1,1,1,1
428003,Fracture,1,1,2,1,1
428003,Abyss,1,1,2,1,0
428003,Fracture,1,1,1,2,0
428004,Abyss,2,1,2,0,0
428004,Lotus,1,1,2,1,1
428004,Pearl,1,1,2,1,0
428004,Abyss,1,1,2,1,1
428004,Lotus,2,1,1,1,0
